,region,aqi_value
0,Afghanistan,95.95918367346938
1,Albania,68.25
2,Algeria,88.16666666666667
3,Andorra,29.333333333333332
4,Angola,83.92592592592592
5,Argentina,28.44927536231884
6,Armenia,53.63636363636363
7,Aruba,163.0
8,Australia,33.6
9,Austria,53.720588235294116
10,Azerbaijan,58.76315789473684
11,Bahrain,188.0
12,Bangladesh,113.4625
13,Barbados,73.0
14,Belarus,38.45454545454545
15,Belgium,44.58098591549296
16,Belize,46.333333333333336
17,Benin,67.11111111111111
18,Bhutan,26.0
19,Bolivia (Plurinational State of),23.78787878787879
20,Bosnia and Herzegovina,60.55555555555556
21,Botswana,43.578947368421055
22,Brazil,44.57490396927017
23,Bulgaria,54.261538461538464
24,Burkina Faso,51.588235294117645
25,Burundi,62.69230769230769
26,Cabo Verde,38.0
27,Cambodia,45.25
28,Cameroon,69.015625
29,Canada,43.262411347517734
30,Central African Republic,64.16666666666667
31,Chad,75.33333333333333
32,Chile,87.85185185185185
33,China,126.95345911949686
34,Colombia,66.068
35,Comoros,33.0
36,Congo,87.58333333333333
37,Costa Rica,58.81578947368421
38,Croatia,57.935483870967744
39,Cuba,63.07142857142857
40,Cyprus,50.833333333333336
41,Czechia,60.90551181102362
42,C̫te d'Ivoire,53.28358208955224
43,Democratic Republic of the Congo,114.81428571428572
44,Denmark,38.016666666666666
45,Dominican Republic,108.07894736842105
46,Ecuador,45.333333333333336
47,Egypt,101.65
48,El Salvador,97.36363636363636
49,Equatorial Guinea,45.25
50,Eritrea,99.2
51,Estonia,38.833333333333336
52,Ethiopia,78.73170731707317
53,Finland,38.370370370370374
54,France,53.33790523690773
55,Gabon,78.1
56,Gambia,147.0
57,Georgia,40.6
58,Germany,48.24684014869889
59,Ghana,62.793103448275865
60,Greece,68.28846153846153
61,Guatemala,80.9504132231405
62,Guinea,62.476190476190474
63,Guinea-Bissau,138.75
64,Guyana,45.5
65,Haiti,101.72222222222223
66,Honduras,63.42857142857143
67,Hungary,63.605633802816904
68,Iceland,23.0
69,India,152.96422829581994
70,Indonesia,93.03693931398416
71,Iran (Islamic Republic of),108.29608938547486
72,Iraq,114.07142857142857
73,Ireland,40.225806451612904
74,Israel,87.40425531914893
75,Italy,62.00408580183861
76,Jamaica,90.66666666666667
77,Japan,51.72364672364672
78,Jordan,96.83333333333333
79,Kazakhstan,61.2112676056338
80,Kenya,74.16666666666667
81,Kingdom of Eswatini,119.33333333333333
82,Kuwait,162.0
83,Kyrgyzstan,81.53846153846153
84,Lao People's Democratic Republic,43.5
85,Latvia,39.90909090909091
86,Lebanon,72.0
87,Lesotho,89.6
88,Liberia,38.0
89,Libya,105.4
90,Lithuania,38.13157894736842
91,Luxembourg,44.5
92,Madagascar,30.953846153846154
93,Malawi,47.333333333333336
94,Malaysia,81.616
95,Maldives,19.0
96,Mali,83.16
97,Malta,51.36363636363637
98,Mauritania,179.0
99,Mauritius,41.0
100,Mexico,89.61669505962521
101,Monaco,56.0
102,Mongolia,53.4
103,Montenegro,64.75
104,Morocco,45.36842105263158
105,Mozambique,36.82608695652174
106,Myanmar,40.16949152542373
107,Namibia,76.88235294117646
108,Nepal,116.36363636363636
109,Netherlands,38.13758389261745
110,New Zealand,30.727272727272727
111,Nicaragua,47.972972972972975
112,Niger,75.6896551724138
113,Nigeria,99.61111111111111
114,Norway,35.476190476190474
115,Oman,137.5
116,Pakistan,178.78827361563518
117,Palau,16.0
118,Panama,68.44444444444444
119,Papua New Guinea,24.866666666666667
120,Paraguay,42.76923076923077
121,Peru,36.4296875
122,Philippines,61.195845697329375
123,Poland,52.46015424164524
124,Portugal,34.6078431372549
125,Qatar,157.5
126,Republic of Korea,421.0
127,Republic of Moldova,52.964285714285715
128,Republic of North Macedonia,66.78260869565217
129,Romania,53.93364928909953
130,Russian Federation,42.50684931506849
131,Rwanda,93.53846153846153
132,Saint Kitts and Nevis,90.0
133,Saint Lucia,79.0
134,Saudi Arabia,149.28571428571428
135,Senegal,152.42424242424244
136,Serbia,67.98876404494382
137,Seychelles,26.0
138,Sierra Leone,44.2
139,Singapore,91.0
140,Slovakia,67.53225806451613
141,Slovenia,70.875
142,Solomon Islands,18.0
143,Somalia,72.05555555555556
144,South Africa,113.04022988505747
145,South Sudan,60.333333333333336
146,Spain,38.45647058823529
147,Sri Lanka,63.52173913043478
148,State of Palestine,86.0
149,Sudan,78.85714285714286
150,Suriname,43.333333333333336
151,Sweden,36.16494845360825
152,Switzerland,55.21551724137931
153,Syrian Arab Republic,86.93333333333334
154,Tajikistan,115.20689655172414
155,Thailand,53.58130081300813
156,Togo,65.15789473684211
157,Trinidad and Tobago,94.5
158,Tunisia,70.9090909090909
159,Turkey,51.66804979253112
160,Turkmenistan,104.72222222222223
161,Uganda,85.31746031746032
162,Ukraine,51.054794520547944
163,United Arab Emirates,163.66666666666666
164,United Kingdom of Great Britain and Northern Ireland,39.515
165,United Republic of Tanzania,31.633187772925766
166,United States of America,59.74059888579387
167,Uruguay,26.653846153846153
168,Uzbekistan,119.08620689655173
169,Vanuatu,30.0
170,Venezuela (Bolivarian Republic of),77.72222222222223
171,Viet Nam,87.05
172,Yemen,144.57142857142858
173,Zambia,40.666666666666664
174,Zimbabwe,43.74074074074074
