,Location,Population
0,World,8232000000
1,India,1417492000
2,China,1408280000
3,United States,340110988
4,Indonesia,284438782
5,Pakistan,241499431
6,Nigeria,223800000
7,Brazil,213421037
8,Bangladesh,169828911
9,Russia,146028325
10,Mexico,130760049
11,Japan,123190000
12,Philippines,114123600
13,Democratic Republic of the Congo,112832000
14,Ethiopia,111652998
15,Egypt,107271260
16,Vietnam,101343800
17,Iran,85961000
18,Turkey,85664944
19,Germany,83491249
20,United Kingdom,69281437
21,France,68736000
22,Tanzania,68153004
23,Thailand,65826149
24,South Africa,63100945
25,Italy,58925596
26,Kenya,53330978
27,Colombia,53057212
28,Sudan,51662000
29,Myanmar,51316756
30,South Korea,51143421
31,Spain,49442844
32,Algeria,47400000
33,Argentina,46387098
34,Iraq,46118793
35,Uganda,45905417
36,Afghanistan,43844000
37,Canada,41651653
38,Uzbekistan,38069116
39,Poland,37376000
40,Morocco,36828330
41,Angola,36604681
42,Saudi Arabia,35300280
43,Peru,34350244
44,Malaysia,34281100
45,Mozambique,34090466
46,Ghana,33742380
47,Ukraine,32862000
48,Yemen,32684503
49,Madagascar,31727042
50,Ivory Coast,31719275
51,Nepal,29911840
52,Cameroon,29442327
53,Venezuela,28517000
54,Australia,27536874
55,Niger,26312034
56,Syria,26019711
57,North Korea,25950000
58,Burkina Faso,24070553
59,Taiwan,23317031
60,Mali,22395489
61,Sri Lanka,21763170
62,Malawi,20734262
63,Kazakhstan,20464077
64,Chile,20206953
65,Zambia,19693423
66,Somalia,19655000
67,Chad,19340757
68,Romania,19036031
69,Senegal,18593258
70,Netherlands,18130662
71,Ecuador,18103660
72,Guatemala,18079810
73,Cambodia,17577760
74,Zimbabwe,17073087
75,South Sudan,15786898
76,Guinea,14363931
77,Rwanda,14104969
78,Benin,13224860
79,Burundi,12332788
80,Tunisia,11972169
81,Belgium,11917402
82,Haiti,11867032
83,Jordan,11734000
84,Bolivia,11365333
85,United Arab Emirates,11294243
86,Czech Republic,10882341
87,Dominican Republic,10771504
88,Portugal,10749635
89,Sweden,10609460
90,Tajikistan,10499000
91,Greece,10400720
92,Azerbaijan,10253647
93,Papua New Guinea,10185363
94,Israel,10147200
95,Honduras,9892632
96,Cuba,9748007
97,Hungary,9539502
98,Austria,9216459
99,Belarus,9109280
100,Switzerland,9082848
101,Sierra Leone,9077691
102,Togo,8095498
103,Laos,7647000
104,Hong Kong (China),7527500
105,Libya,7459000
106,Kyrgyzstan,7281800
107,Turkmenistan,7057841
108,Nicaragua,6803886
109,Serbia,6567783
110,Central African Republic,6470307
111,Bulgaria,6437360
112,Republic of the Congo,6142180
113,Singapore,6110200
114,Paraguay,6109644
115,El Salvador,6029976
116,Denmark,6019866
117,Finland,5655715
118,Norway,5618354
119,Lebanon,5490000
120,Palestine,5483450
121,Ireland,5458600
122,Slovakia,5413191
123,Oman,5356019
124,New Zealand,5334200
125,Liberia,5248621
126,Costa Rica,5191824
127,Mauritania,4927532
128,Kuwait,4881254
129,Panama,4064780
130,Croatia,3866233
131,Georgia,3704500
132,Eritrea,3607000
133,Mongolia,3544835
134,Uruguay,3499451
135,Bosnia and Herzegovina,3422000
136,Puerto Rico (US),3203295
137,Qatar,3173024
138,Armenia,3076200
139,Namibia,3022401
140,Lithuania,2895826
141,Jamaica,2774538
142,Gabon,2469296
143,Gambia,2422712
144,Moldova,2381300
145,Albania,2363314
146,Botswana,2359609
147,Slovenia,2130986
148,Lesotho,2116427
149,Latvia,1827800
150,North Macedonia,1822612
151,Guinea-Bissau,1781308
152,Equatorial Guinea,1668768
153,Bahrain,1594654
154,Kosovo,1585566
155,Timor-Leste,1391221
156,Estonia,1369995
157,Trinidad and Tobago,1367764
158,Mauritius,1243741
159,Eswatini,1235549
160,Djibouti,1066809
161,Cyprus,966400
162,Comoros,919901
163,Fiji,900869
164,Bhutan,784043
165,Guyana,772975
166,Solomon Islands,750325
167,Macau (China),686600
168,Luxembourg,681973
169,Montenegro,623327
170,Suriname,616500
171,Western Sahara (disputed),600904
172,Malta,574250
173,Maldives,515132
174,Cape Verde,491233
175,Northern Cyprus,476214
176,Brunei,455500
177,Belize,417634
178,Bahamas,398165
179,Iceland,393160
180,Transnistria,367776
181,Vanuatu,321409
182,French Polynesia (France),279500
183,Barbados,267800
184,New Caledonia (France),264596
185,Abkhazia,244236
186,São Tomé and Príncipe,209607
187,Samoa,205557
188,Saint Lucia,184100
189,Curaçao (Netherlands),156115
190,Guam (US),153836
191,Seychelles,122729
192,Kiribati,120740
193,Saint Vincent and the Grenadines,110872
194,Grenada,109021
195,Aruba (Netherlands),108880
196,Micronesia,105564
197,Antigua and Barbuda,103603
198,Jersey (UK),103267
199,Tonga,100179
200,Andorra,88881
201,U.S. Virgin Islands (US),87146
202,Cayman Islands (UK),84738
203,Isle of Man (UK),84530
204,Dominica,67408
205,Guernsey (UK),64781
206,Bermuda (UK),64055
207,Greenland (Denmark),56542
208,South Ossetia,56520
209,Faroe Islands (Denmark),54858
210,Saint Kitts and Nevis,51320
211,Turks and Caicos Islands (UK),50828
212,American Samoa (US),49710
213,Northern Mariana Islands (US),47329
214,Marshall Islands,42418
215,Sint Maarten (Netherlands),41349
216,Liechtenstein,40886
217,British Virgin Islands (UK),39471
218,Monaco,38423
219,Gibraltar (UK),38000
220,San Marino,34154
221,Saint Martin (France),31496
222,Palau,16733
223,Anguilla (UK),16010
224,Cook Islands (New Zealand),15040
225,Nauru,11680
226,Wallis and Futuna (France),11620
227,Tuvalu,10643
228,Saint Barthélemy (France),10562
229,Saint Pierre and Miquelon (France),5819
230,"Saint Helena, Ascension and Tristan da Cunha (UK)",5651
231,Montserrat (UK),4386
232,Falkland Islands (UK),3662
233,Tokelau (New Zealand),2608
234,Norfolk Island (Australia),2188
235,Christmas Island (Australia),1692
236,Niue (New Zealand),1681
237,Vatican City,882
238,Cocos (Keeling) Islands (Australia),593
239,Pitcairn Islands (UK),35
